SECONDARY SCIENCE CHEMICAL INVENTORY APPROVED CHEMICALS - ALL,,,,,,,,,,,,,,,,,,,,,
SCHOOL NAME:,,,,,,,,,,,,,,,,,,,,,
COMPLETED BY:,,ItemStatus,Company,Catalog,MSDS,Units,Storage Area,Room #,,Cells with a red triangle in the upper right-hand corner contain comments. Click or hover over the cell to see the comment.,,,,,,,,,,,
DATE COMPLETED:,Sat May 14 2016 at 06:17 PM
Name,ListType,ItemType,Department,Amount,Remind,Notes,,,,,,,,,,,,,,,
APPROVED CHEMICALS,,,,,,,Will be removed,,,STORAGE LOCATION #1,,,,STORAGE LOCATION #2,,,,,OPTIONAL ,,
Chemical Name,School Name,Common Names,Storage Area,Anion,Cation,MSDS FILE #,WHMIS Class,CAS #,Storage Area (from Approved List),Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Request Disposal? (Y or N),Grade,Rationale,Supplier
Name,ItemType,ShopList,Department,Amount,Remind,Notes,Status,Company,Cat#,MSDS,Units,Storage,Room,Date,,,,,,,
1-cyclohexene  ,Consumable,No,General,0,30,Notes,Ok,Unknown,110-83-8,#343,2,Flammable Cabinet,1044A,Wed Apr 13 2016 at 12:42 PM
1-butanol 1-butyl alcohol,Consumable,No,General,400,30,Notes,Ok,Unknown,71-36-3,#430  471,1,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
2-butanone methyl ethyl ketone,Consumable,No,General,730,60,Notes,Ok,Unknown,78-93-3,#517,1,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
3-aminophthalhydrazide luminol,Consumable,No,General,3,60,Notes,Ok,Unknown,521-31-3,#857,0,General,1044A ,Thu Apr 14 2016 at 12:42 PM
acetamide  ,Consumable,No,General,0,60,Notes,Ok,Unknown,60-35-5,#763 Discontinued / Archived,2,Organic Cupboard,1044A ,Thu Apr 14 2016 at 12:42 PM
acetic acid ethanoic acid,Consumable,No,General,4300,60,Notes,Ok,Unknown,64-19-7,#Several options,1,Acid Cabinet,1044B,Thu Apr 14 2016 at 12:42 PM
acetic anhydride acetyl oxide  ethoanoic anhydride,Consumable,No,General,250,60,Notes,Ok,Unknown,108-24-7,#354,1,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
acetone acetone  2-propanone,Consumable,No,General,1,60,Notes,Ok,Unknown,67-64-1,#353,1,Flammable Cabinet,2017,Thu Apr 14 2016 at 12:42 PM
acetylsalicylic acid aspirin,Consumable,No,General,0,60,Notes,Ok,Unknown,107-13-1,#352,2,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
adrenaline epinephrine,Consumable,No,General,0,60,Notes,Ok,Unknown,51-43-4,Approved List - No MSDS online,2,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
agar  ,Consumable,No,General,50,60,Notes,Ok,Unknown,9002-18-0,#518,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
alizarin yellow sodium 5-[(4-nitrophenyl)azo]salicylate,Consumable,No,General,0,60,Notes,Ok,Unknown,1783-34-9,#388 is Alizarin Red,2,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
aluminium potassium sulfate alum  potash alum  potassium aluminum sulfate,Consumable,No,General,200,60,Notes,Ok,Unknown,10043-67-1,#514,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
